zipCode,disasterNumber,sum_approvedForFemaAssistanceOwners,sum_totalApprovedIhpAmountOwners,sum_repairReplaceAmountOwners,sum_rentalAmountOwners,sum_otherNeedsAmountOwners,sum_approvedBetween1And10000Owners,sum_approvedBetween100001And25000Owners,sum_approvedBetween25001AndMaxOwners,sum_totalMaxGrantsOwners,sum_approvedForFemaAssistanceRenters,sum_totalApprovedIhpAmountRenters,sum_rentalAmountRenters,sum_otherNeedsAmountRenters,sum_approvedBetween1And10000Renters,sum_approvedBetween100001And25000Renters,sum_approvedBetween25001AndMaxRenters,sum_totalMaxGrantsRenters,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh,declarationYear,average_assistance_per_owner,average_assistance_per_renter,total_approved_fema_assistance,total_approved_Ihp_amount,city,after_2020_only,latitude,longitude
1342,1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2008-11-18T00:00:00.000Z,WILDFIRES,2008-11-13T00:00:00.000Z,2008-11-28T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2008-11-18T00:00:00.000Z,2022-07-19T00:00:00.000Z,2021-09-16T00:00:00.000Z,9.0,1.0,0.0,1.0,1.0,,2008-11-16T00:00:00.000Z,53365a4b-4535-4495-ac19-f020e68767d1,7ac542ed3feea4c2014395fb97267844b29985e9,2024-10-09T19:01:58.075Z,2008,,,,,No city found by zip code,No,,
5246,4240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2015-09-22T00:00:00.000Z,VALLEY FIRE AND BUTTE FIRE,2015-09-09T00:00:00.000Z,2015-10-30T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2015-09-22T00:00:00.000Z,2015-11-02T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2015-09-21T00:00:00.000Z,9b8aee69-59fa-4821-b1ba-bdc8b17d3d23,7e0be7a4f1a207bfbc1c7e504962b979789c610c,2024-10-09T19:01:58.075Z,2015,,,,,No city found by zip code,No,,
5403,4344,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-10-10T00:00:00.000Z,WILDFIRES,2017-10-08T00:00:00.000Z,2017-10-31T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2017-10-10T00:00:00.000Z,2017-11-07T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2017-10-09T00:00:00.000Z,cc0ec6a3-6aa4-4e4a-b930-af654f397ca4,8b520f5027fe16e162e86ff175dd075162accc1d,2024-10-09T19:01:58.075Z,2017,,,,,No city found by zip code,No,,
14368,4562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2020-09-15T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2020-09-07T00:00:00.000Z,2020-11-03T00:00:00.000Z,Major Disaster,OR,Oregon                        ,Fire,2020-09-15T00:00:00.000Z,2020-11-17T00:00:00.000Z,,10.0,1.0,0.0,1.0,1.0,,2020-09-14T00:00:00.000Z,7d6a4c58-4833-41f6-875a-a72c205b6ee8,5ac489aae350f124be6e407c3ae58c29cde6ec07,2024-10-09T19:01:58.075Z,2020,,,,,Error,Yes,,
14567,4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2020-10-16T00:00:00.000Z,WILDFIRES,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-10-17T00:00:00.000Z,2020-11-20T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-09-28T00:00:00.000Z,7be4ba3a-6419-4633-853a-2b25d2000ea6,b217409cc433e756d6cbf9abdc8d1d609926d5f1,2024-10-09T19:01:58.075Z,2020,,,,,Error,Yes,,
17511,4569,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-16T00:00:00.000Z,WILDFIRES,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-10-17T00:00:00.000Z,2020-11-20T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-09-28T00:00:00.000Z,7be4ba3a-6419-4633-853a-2b25d2000ea6,b217409cc433e756d6cbf9abdc8d1d609926d5f1,2024-10-09T19:01:58.075Z,2020,,,,,Error,Yes,,
23687,4569,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-16T00:00:00.000Z,WILDFIRES,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-10-17T00:00:00.000Z,2020-11-20T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-09-28T00:00:00.000Z,7be4ba3a-6419-4633-853a-2b25d2000ea6,b217409cc433e756d6cbf9abdc8d1d609926d5f1,2024-10-09T19:01:58.075Z,2020,,,,,Error,Yes,,
25932,4569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,2020-10-16T00:00:00.000Z,WILDFIRES,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-10-17T00:00:00.000Z,2020-11-20T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-09-28T00:00:00.000Z,7be4ba3a-6419-4633-853a-2b25d2000ea6,b217409cc433e756d6cbf9abdc8d1d609926d5f1,2024-10-09T19:01:58.075Z,2020,,,,,"Surveyor, West Virginia",Yes,37.7659467,-81.31788089999999
30998,4558,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-08-22T00:00:00.000Z,WILDFIRES,2020-08-14T00:00:00.000Z,2020-09-26T00:00:00.000Z,Major Disaster,CA,California                    ,Fire,2020-08-22T00:00:00.000Z,2020-10-01T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,,2020-08-20T00:00:00.000Z,8a7004f0-b239-4d56-8fdd-e7be783f0b94,f87b98f440548277b9e8ca7b447670ead1a6213c,2024-10-09T19:01:58.075Z,2020,,,,,Error,Yes,,
32366,4856,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-01-08T00:00:00.000Z,WILDFIRES AND STRAIGHT-LINE WINDS,2025-01-07T00:00:00.000Z,,Major Disaster,CA,California                    ,Fire,2025-01-09T00:00:00.000Z,2025-01-15T00:00:00.000Z,,9.0,1.0,0.0,1.0,1.0,"2,R",2025-01-08T00:00:00.000Z,8d6a68b8-e429-42ed-a0c8-dabade17ebeb,cc28c1e05e892a365e8b1cce9d90889ac0fbd768,2025-01-15T22:41:27.948Z,2025,,,,,Error,Yes,,
