declarationYear,stateName,city,after_2020_only,total_approved_Ihp_amount,total_approved_fema_assistance,incidentBeginDate
2008,California                    ,No city found by zip code,No,,,2008-11-13
2015,California                    ,No city found by zip code,No,,,2015-09-09
2017,California                    ,No city found by zip code,No,,,2017-10-08
2020,Oregon                        ,Error,Yes,,,2020-09-07
2020,California                    ,Error,Yes,,,2020-09-04
2020,California                    ,Error,Yes,,,2020-09-04
2020,California                    ,Error,Yes,,,2020-09-04
2020,California                    ,"Surveyor, West Virginia",Yes,,,2020-09-04
2020,California                    ,Error,Yes,,,2020-08-14
2025,California                    ,Error,Yes,,,2025-01-07
2016,Tennessee                     ,"Alcoa, Tennessee",No,,,2016-11-28
2016,Tennessee                     ,"Cosby, Tennessee",No,,,2016-11-28
2016,Tennessee                     ,"Gatlinburg, Tennessee",No,3141266.77,410.0,2016-11-28
2016,Tennessee                     ,"Kodak, Tennessee",No,0.0,0.0,2016-11-28
2016,Tennessee                     ,"Newport, Tennessee",No,0.0,0.0,2016-11-28
2016,Tennessee                     ,"Sevierville, Tennessee",No,59246.700000000004,4.0,2016-11-28
2016,Tennessee                     ,"Pigeon Forge, Tennessee",No,32990.3,7.0,2016-11-28
2016,Tennessee                     ,"Seymour, Tennessee",No,0.0,0.0,2016-11-28
2016,Tennessee                     ,"Strawberry Plains, Tennessee",No,,,2016-11-28
2016,Tennessee                     ,"Sevierville, Tennessee",No,199855.52000000002,21.0,2016-11-28
2016,Tennessee                     ,"Knoxville, Tennessee",No,,,2016-11-28
2020,California                    ,Error,Yes,,,2020-09-04
2015,California                    ,Error,No,,,2015-09-09
2020,California                    ,"Fox Lake, Illinois",Yes,,,2020-08-14
2021,Colorado                      ,Error,Yes,,,2021-12-30
2006,Texas                         ,"Paradis, Louisiana",No,,,2005-11-27
2025,California                    ,"Duson, Louisiana",Yes,,,2025-01-07
2020,California                    ,"Alexandria, Louisiana",Yes,,,2020-08-14
2007,California                    ,"Haynes, Arkansas",No,,,2007-10-21
2006,Oklahoma                      ,"Edmond, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Bethany, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Bradley, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Choctaw, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Choctaw, Oklahoma",No,196413.19,18.0,2009-04-09
2009,Oklahoma                      ,"Norman, Oklahoma",No,,,2009-04-09
2012,Oklahoma                      ,"Norman, Oklahoma",No,491162.66000000003,23.0,2012-08-03
2009,Oklahoma                      ,"Davis, Oklahoma",No,70579.56,5.0,2009-04-09
2009,Oklahoma                      ,"Edmond, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"El Reno, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Guthrie, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Harrah, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Hinton, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Jones, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Lexington, Oklahoma",No,219664.65,9.0,2009-04-09
2012,Oklahoma                      ,"Lexington, Oklahoma",No,,,2012-08-03
2006,Oklahoma                      ,"Lindsay, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Lindsay, Oklahoma",No,102057.53,4.0,2009-04-09
2006,Oklahoma                      ,"Luther, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Luther, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Marlow, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Maysville, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Mustang, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Noble, Oklahoma",No,1285934.9,76.0,2012-08-03
2009,Oklahoma                      ,"Orlando, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Paoli, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Pauls Valley, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Spencer, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,Error,No,,,2009-04-09
2009,Oklahoma                      ,"Verden, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Wynnewood, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2012,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2012-08-03
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Oklahoma City, Oklahoma",No,28368.300000000003,4.0,2009-04-09
2009,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2009-04-09
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2006,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2005-11-27
2009,Oklahoma                      ,"Oklahoma City, Oklahoma",No,,,2009-04-09
