city,after_2020_only,latitude,longitude,total_approved_Ihp_amount,total_approved_fema_assistance,declarationYear
No city found by zip code,No,,,,,2008
No city found by zip code,No,,,,,2015
No city found by zip code,No,,,,,2017
Error,Yes,,,,,2020
Error,Yes,,,,,2020
Error,Yes,,,,,2020
Error,Yes,,,,,2020
"Surveyor, West Virginia",Yes,37.7659467,-81.31788089999999,,,2020
Error,Yes,,,,,2020
Error,Yes,,,,,2025
"Alcoa, Tennessee",No,35.7895271,-83.9737935,,,2016
"Cosby, Tennessee",No,35.8154772,-83.2477597,,,2016
"Gatlinburg, Tennessee",No,35.714259,-83.5101638,3141266.77,410.0,2016
"Kodak, Tennessee",No,35.9745743,-83.62708959999999,0.0,0.0,2016
"Newport, Tennessee",No,35.9677665,-83.1873541,0.0,0.0,2016
"Sevierville, Tennessee",No,35.8681455,-83.56183500000002,59246.700000000004,4.0,2016
"Pigeon Forge, Tennessee",No,35.7884241,-83.55433289999999,32990.3,7.0,2016
"Seymour, Tennessee",No,35.8725599,-83.77401979999999,0.0,0.0,2016
"Strawberry Plains, Tennessee",No,36.06314140000001,-83.6860109,,,2016
"Sevierville, Tennessee",No,35.8681455,-83.56183500000002,199855.52000000002,21.0,2016
"Knoxville, Tennessee",No,35.9606384,-83.9207392,,,2016
Error,Yes,,,,,2020
Error,No,,,,,2015
"Fox Lake, Illinois",Yes,42.3966874,-88.1836965,,,2020
Error,Yes,,,,,2021
"Paradis, Louisiana",No,29.8772427,-90.4358266,,,2006
"Duson, Louisiana",Yes,30.2357577,-92.18540349999999,,,2025
"Alexandria, Louisiana",Yes,31.3112936,-92.4451371,,,2020
"Haynes, Arkansas",No,34.8908268,-90.7924276,,,2007
"Edmond, Oklahoma",No,35.6528323,-97.47809540000002,,,2006
"Bethany, Oklahoma",No,35.5186678,-97.63226390000001,,,2006
"Bradley, Oklahoma",No,34.8781271,-97.7083691,,,2009
"Choctaw, Oklahoma",No,35.4975625,-97.2689212,,,2006
"Choctaw, Oklahoma",No,35.4975625,-97.2689212,196413.19,18.0,2009
"Norman, Oklahoma",No,35.2225668,-97.4394777,,,2009
"Norman, Oklahoma",No,35.2225668,-97.4394777,491162.66000000003,23.0,2012
"Davis, Oklahoma",No,34.5045317,-97.1194637,70579.56,5.0,2009
"Edmond, Oklahoma",No,35.6528323,-97.47809540000002,,,2009
"El Reno, Oklahoma",No,35.5322741,-97.9550493,,,2006
"Guthrie, Oklahoma",No,35.878937,-97.42531849999999,,,2006
"Harrah, Oklahoma",No,35.4895085,-97.1636408,,,2006
"Hinton, Oklahoma",No,35.4714415,-98.3556162,,,2006
"Jones, Oklahoma",No,35.5658936,-97.2869781,,,2006
"Lexington, Oklahoma",No,35.0147945,-97.33558350000001,219664.65,9.0,2009
"Lexington, Oklahoma",No,35.0147945,-97.33558350000001,,,2012
"Lindsay, Oklahoma",No,34.8347959,-97.6025319,,,2006
"Lindsay, Oklahoma",No,34.8347959,-97.6025319,102057.53,4.0,2009
"Luther, Oklahoma",No,35.6617259,-97.195588,,,2006
"Luther, Oklahoma",No,35.6617259,-97.195588,,,2009
"Marlow, Oklahoma",No,34.6481318,-97.9580933,,,2006
"Maysville, Oklahoma",No,34.81729869999999,-97.4058604,,,2006
"Mustang, Oklahoma",No,35.384226,-97.7244867,,,2006
"Noble, Oklahoma",No,35.1392357,-97.394753,1285934.9,76.0,2012
"Orlando, Oklahoma",No,36.1489309,-97.378098,,,2009
"Paoli, Oklahoma",No,34.8267449,-97.2591911,,,2006
"Pauls Valley, Oklahoma",No,34.7400809,-97.22224510000001,,,2006
"Spencer, Oklahoma",No,35.5103197,-97.36786239999999,,,2006
Error,No,,,,,2009
"Verden, Oklahoma",No,35.0833962,-98.0878254,,,2009
"Wynnewood, Oklahoma",No,34.6434171,-97.1644656,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2009
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2012
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,28368.300000000003,4.0,2009
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2009
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2006
"Oklahoma City, Oklahoma",No,35.4675602,-97.5164276,,,2009
"Ardmore, Oklahoma",No,34.1742611,-97.14362539999999,,,2006
"Ardmore, Oklahoma",No,34.1742611,-97.14362539999999,101201.33,4.0,2009
"Countyline, Oklahoma",No,34.4486962,-97.562805,12571.63,1.0,2009
"Elmore City, Oklahoma",No,34.6228594,-97.39641379999999,,,2006
"Fox, Oklahoma",No,34.3636992,-97.4922474,39331.64,2.0,2009
"Graham, Oklahoma",No,34.340896,-97.43220509999999,62345.1,5.0,2009
"Healdton, Oklahoma",No,34.2331475,-97.4878023,165956.81,9.0,2009
"Loco, Oklahoma",No,34.3292549,-97.6811407,,,2006
"Springer, Oklahoma",No,34.3145355,-97.1427939,,,2006
"Wilson, Oklahoma",No,34.1620385,-97.42585509999999,,,2006
"Ratliff City, Oklahoma",No,34.4489743,-97.5094704,,,2006
"Ratliff City, Oklahoma",No,34.4489743,-97.5094704,321759.75,15.0,2009
"Tatums, Oklahoma",No,34.4828626,-97.46169169999999,228518.32,15.0,2009
"Velma, Oklahoma",No,34.4600839,-97.6739188,,,2006
"Velma, Oklahoma",No,34.4600839,-97.6739188,214347.41,11.0,2009
"Comanche, Oklahoma",No,34.3689747,-97.96392399999999,,,2006
"Comanche, Oklahoma",No,34.3689747,-97.96392399999999,,,2009
"Duncan, Oklahoma",No,34.5023028,-97.9578128,,,2006
"Duncan, Oklahoma",No,34.5023028,-97.9578128,,,2009
"Randlett, Oklahoma",No,34.1773143,-98.4636659,,,2006
"Walters, Oklahoma",No,34.3598075,-98.30782579999999,,,2006
Error,Yes,,,,,2020
"Bristow, Oklahoma",No,35.8306334,-96.39111799999999,,,2006
"Bristow, Oklahoma",No,35.8306334,-96.39111799999999,544334.7999999999,34.0,2012
"Cushing, Oklahoma",No,35.9850639,-96.76697,,,2006
