declarationYear,Arizona                       ,California                    ,Colorado                      ,Hawaii                        ,New Mexico                    ,Oklahoma                      ,Oregon                        ,Tennessee                     ,Texas                         ,Washington                    
2003,,10344.0,,,,,,,,
2006,,,,,,0.0,,,0.0,
2007,,0.0,,,,,,,,
2008,,456.0,,,,,,,,
2009,,,,,,102.0,,,,
2011,,,,,,,,,960.0,
2012,,,,,,386.0,,,,
2015,,1534.0,,,,,,,,
2016,,,,,,,,442.0,,
2017,,4395.0,,,,,,,,
2018,,9253.0,,,,,,,,
2020,,3256.0,,,,,3247.0,,,
2021,,445.0,948.0,,,,,,,
2022,,,,,1378.0,,,,,
2023,,,,7124.0,,,,,,
2024,27.0,,,,651.0,,,,,190.0
2025,,25647.0,,,,,,,,
